file	lines	omega	decide	bv_decide	simp	norm_num	decision_total
Vsa/Sim/SnprintfSpec17.lean	2240	73	3121	0	1	0	3194
Vsa/Sim/SnprintfSpec49.lean	1347	61	2550	0	1	0	2611
Vsa/Sim/JmpSpec.lean	1536	156	2274	0	3	0	2430
Vsa/Sim/ExecBrkCont.lean	1549	161	1818	0	62	0	1979
Vsa/Sim/SnprintfSpec5.lean	1533	227	1634	0	47	0	1861
Vsa/Sim/StrlenSpec.lean	2187	149	1579	0	34	0	1728
Vsa/Sim/SnprintfSpec3.lean	1470	34	1561	0	18	0	1595
Vsa/Sim/StrlenSpecU.lean	1730	137	1452	0	27	0	1589
Vsa/Sim/EvalCallNative2.lean	1406	309	1269	0	18	0	1578
Vsa/Sim/SnprintfSpec43.lean	998	67	1486	0	6	0	1553
Vsa/Sim/SnprintfSpec45.lean	976	58	1490	0	6	0	1548
Vsa/Sim/SnprintfSpec7.lean	1031	94	1428	0	5	0	1522
Vsa/Sim/EvalIntSim2.lean	1051	192	1234	0	139	0	1426
Vsa/Sim/SnprintfSpec46.lean	918	83	1274	0	0	0	1357
Vsa/Sim/DivSpec3.lean	1612	86	1227	0	31	0	1313
Vsa/Sim/StrcmpSpecW2.lean	1153	25	1278	0	17	0	1303
Vsa/Sim/EnvGetSpec7.lean	941	109	1163	0	11	0	1272
Vsa/Sim/ExecDispatch.lean	896	73	1184	0	15	0	1257
Vsa/Sim/StrcmpSites.lean	3558	0	1235	0	0	0	1235
Vsa/Sim/StrcpySpecW3.lean	1238	98	1116	0	17	0	1214
Vsa/Sim/SnprintfSpec11.lean	1258	48	1157	0	1	0	1205
Vsa/Sim/StrcpySpecW2.lean	884	62	1114	0	13	0	1176
Vsa/Sim/MemcpySpec4.lean	836	23	1142	0	5	0	1165
Vsa/Sim/SnprintfSpec19.lean	1071	166	990	0	4	0	1156
Vsa/Sim/SnprintfSpec16.lean	1347	10	1134	0	2	0	1144
Vsa/Sim/StrcmpSpecW3.lean	1551	113	994	0	47	0	1107
Vsa/Sim/SnprintfSpec20.lean	2442	475	562	0	10	0	1037
Vsa/Sim/EnvGetSpec6.lean	1113	133	828	0	9	0	961
Vsa/Sim/SnprintfSpec18.lean	1481	46	894	0	12	0	940
Vsa/Sim/SnprintfSitesPro.lean	2623	0	928	0	0	0	928
Vsa/Sim/StrcpySites.lean	2899	0	918	0	2	0	918
Vsa/Sim/EvalAndSim.lean	1469	211	674	0	7	0	885
Vsa/Sim/EvalVarSim.lean	1632	83	784	0	23	0	867
Vsa/Sim/DivSpec.lean	825	4	855	0	8	0	859
Vsa/Sim/StrlenSites.lean	2823	0	775	0	0	0	775
Vsa/Sim/EvalOrSim.lean	1144	181	536	0	5	0	717
Vsa/Sim/EvalBinSim.lean	1017	214	498	0	9	0	712
Vsa/Sim/EnvNewSpec.lean	1197	130	570	0	49	0	700
Vsa/Sim/EvalLogical4.lean	1342	244	429	0	13	0	673
Vsa/Sim/EvalNotSim.lean	1222	178	495	0	13	0	673
Vsa/Sim/SnprintfSpec15.lean	967	43	609	0	7	0	652
Vsa/Sim/EvalLogical3.lean	1308	244	392	0	13	0	636
Vsa/Sim/SsprintSites.lean	1865	0	629	0	0	0	629
Vsa/Sim/ExecRet.lean	801	105	516	0	14	0	621
Vsa/Sim/ExecRetNull.lean	759	105	516	0	14	0	621
Vsa/Sim/SnprintfSpec35.lean	442	588	27	0	0	0	615
Vsa/Sim/EnvGetSites2.lean	2190	0	611	0	0	0	611
Vsa/Sim/SnprintfSitesWrap.lean	1759	0	603	0	0	0	603
Vsa/Sim/CmpTailSitesGen.lean	1626	0	595	0	0	0	595
Vsa/Sim/ValueEqualSpec.lean	823	24	568	0	19	0	592
Vsa/Sim/SnprintfSpec50.lean	1381	256	315	0	2	0	571
Vsa/Sim/EnvDefSites.lean	1633	0	569	0	0	0	569
Vsa/Sim/MemcpySpec3.lean	605	33	516	0	5	0	549
Vsa/Sim/AddTailSites.lean	1509	0	525	0	0	0	525
Vsa/Sim/Exec_stmtSites.lean	1497	0	518	0	0	0	518
Vsa/Sim/SnprintfSpec14.lean	549	4	513	0	1	0	517
Vsa/Sim/SnprintfSitesRet.lean	1491	0	504	0	0	0	504
Vsa/Sim/LogicalSites.lean	1338	0	475	0	0	0	475
Vsa/Sim/ValueSpec.lean	1058	146	328	0	100	0	474
Vsa/Sim/BlockPilot.lean	863	11	453	0	5	0	464
Vsa/Sim/NativeAssertSites.lean	1324	0	451	0	0	0	451
Vsa/Sim/SnprintfSpec12.lean	527	12	436	0	0	0	448
Vsa/Sim/StrcmpSpec.lean	1163	53	394	0	36	0	447
Vsa/Sim/StrcmpSpecW.lean	794	30	415	0	8	0	445
Vsa/Sim/JmpSites.lean	1630	0	441	0	0	0	441
Vsa/Sim/Muldi3Spec.lean	960	4	433	0	14	0	437
Vsa/Sim/ValueSites.lean	1500	0	419	0	2	0	419
Vsa/Sim/EvalSimCommon.lean	931	86	332	0	133	0	418
Vsa/Sim/EvalExprSites.lean	1276	0	415	0	0	0	415
Vsa/Sim/EvalLogical2.lean	727	111	295	0	0	0	406
Vsa/Sim/ValueEqualSites.lean	1216	0	405	0	0	0	405
Vsa/Sim/rows/EvalMulRow.lean	909	13	371	0	3	0	384
Vsa/Sim/SnprintfSpec4.lean	563	9	373	0	15	0	382
Vsa/Sim/MemcpySpec.lean	827	36	340	0	26	0	376
Vsa/Sim/Exec_stmtSites2.lean	1092	0	373	0	0	0	373
Vsa/Sim/ValueTruthySpec.lean	766	35	336	0	53	0	371
Vsa/Sim/SsputsSites.lean	1106	0	368	0	0	0	368
Vsa/Sim/EnvGetSpec8.lean	718	16	349	0	1	0	365
Vsa/Sim/ExecRecCommon.lean	667	59	304	0	29	0	363
Vsa/Sim/LogicalSites2.lean	1007	0	359	0	0	0	359
Vsa/Sim/StrcpySpec.lean	891	28	331	0	32	0	359
Vsa/Sim/SnprintfSpec37.lean	921	272	74	0	24	0	346
Vsa/Sim/MemcpySpec2.lean	540	64	272	0	21	0	336
Vsa/Sim/DivSites.lean	1040	0	335	0	0	0	335
Vsa/Sim/SnprintfSpec40.lean	950	210	124	0	20	0	334
Vsa/Sim/EnvGetSpec4.lean	569	10	322	0	4	0	332
Vsa/Sim/SnprintfSpec10.lean	453	32	291	0	1	0	323
