summary	role
callee_2147495336	callee contract outside the interpreter's own code
callee_2147494344	callee contract outside the interpreter's own code
callee_2147493900	callee contract outside the interpreter's own code
callee_2147493916	callee contract outside the interpreter's own code
callee_2147493880	callee contract outside the interpreter's own code
callee_2147493868	callee contract outside the interpreter's own code
callee_2147494928	callee contract outside the interpreter's own code
callee_2147493932	callee contract outside the interpreter's own code
callee_2147493980	callee contract outside the interpreter's own code
callee_2147495872	callee contract outside the interpreter's own code
callee_2147501632	callee contract outside the interpreter's own code
callee_2147511968	callee contract outside the interpreter's own code
callee_2147511536	callee contract outside the interpreter's own code
callee_2147501732	callee contract outside the interpreter's own code
callee_2147501864	callee contract outside the interpreter's own code
callee_2147507268	callee contract outside the interpreter's own code
callee_2147494396	callee contract outside the interpreter's own code
callee_2147501968	callee contract outside the interpreter's own code
callee_2147494492	callee contract outside the interpreter's own code
callee_2147504736	callee contract outside the interpreter's own code
callee_2147511240	callee contract outside the interpreter's own code
callee_2147511748	callee contract outside the interpreter's own code
callee_2147501980	callee contract outside the interpreter's own code
callee_2147495132	callee contract outside the interpreter's own code
callee_2147494140	callee contract outside the interpreter's own code
callee_2147508960	callee contract outside the interpreter's own code
callee_2147512316	callee contract outside the interpreter's own code
d < maxCallDepth	entry stack budget: the 7408 headroom pin needs the closure depth guard; ExecEntry has no depth field
