query	field	instance	capability
hInt	hInt	single	partial-projection
hStr	hStr	single	partial-projection
hBool	hBool	single	partial-projection
hNull	hNull	single	partial-projection
hVar	hVar	single	machine-only
hAssign	hAssign	single	machine-only
hIAdd	hIAdd	single	partial-projection
hISub	hISub	single	partial-projection
hIMul	hIMul	single	partial-projection
hIDiv	hIDiv	single	partial-projection
hIMod	hIMod	single	partial-projection
hILt	hILt	single	partial-projection
hILe	hILe	single	partial-projection
hIGt	hIGt	single	partial-projection
hIGe	hIGe	single	partial-projection
hEq	hEq	single	machine-only
hNe	hNe	single	machine-only
hStrAddL	hStrAddL	single	machine-only
hStrAddR	hStrAddR	single	machine-only
hStrGe	hStrGe	single	machine-only
hStrGt	hStrGt	single	machine-only
hStrLe	hStrLe	single	machine-only
hStrLt	hStrLt	single	machine-only
hDivOv	hDivOv	single	partial-projection
hNeg	hNeg	single	partial-projection
hNot	hNot	single	partial-projection
hAndTrue	hAndTrue	single	partial-projection
hAndFalse	hAndFalse	single	partial-projection
hOrTrue	hOrTrue	single	partial-projection
hOrFalse	hOrFalse	single	partial-projection
hArgsCons	hArgsCons	single	machine-only
hFn	hFn	single	machine-only
hSExpr	hSExpr	single	machine-only
hSBlock	hSBlock	single	machine-only
hSIfTrue	hSIfTrue	single	machine-only
hSIfFalse	hSIfFalse	single	machine-only
hSIfNone	hSIfNone	single	machine-only
hSRet	hSRet	single	machine-only
hSRetNull	hSRetNull	single	machine-only
hSVarInit	hSVarInit	single	machine-only
hSVarNull	hSVarNull	single	machine-only
hSWhileFalse	hSWhileFalse	single	machine-only
hSForStart	hSForStart	single	machine-only
hSBrk	hSBrk	single	partial-projection
hSCont	hSCont	single	partial-projection
