field	machine_instances	semantic_projection	full_residual
hInt	1	yes	no
hStr	1	yes	no
hBool	1	yes	no
hNull	1	yes	no
hVar	1	no	no
hAssign	1	no	no
hIAdd	1	yes	no
hISub	1	yes	no
hIMul	1	yes	no
hIDiv	1	yes	no
hIMod	1	yes	no
hILt	1	yes	no
hILe	1	yes	no
hIGt	1	yes	no
hIGe	1	yes	no
hEq	1	no	no
hNe	1	no	no
hStrAddL	1	no	no
hStrAddR	1	no	no
hStrGe	1	no	no
hStrGt	1	no	no
hStrLe	1	no	no
hStrLt	1	no	no
hDivOv	1	yes	no
hNeg	1	yes	no
hNot	1	yes	no
hAndTrue	1	yes	no
hAndFalse	1	yes	no
hOrTrue	1	yes	no
hOrFalse	1	yes	no
hArgsCons	1	no	no
hFn	1	no	no
hSExpr	1	no	no
hSBlock	1	no	no
hSIfTrue	1	no	no
hSIfFalse	1	no	no
hSIfNone	1	no	no
hSRet	1	no	no
hSRetNull	1	no	no
hSVarInit	1	no	no
hSVarNull	1	no	no
hSWhileFalse	1	no	no
hSForStart	1	no	no
hSBrk	1	yes	no
hSCont	1	yes	no
hArgsNil	0	no	no
hCall	0	no	no
hCallClosure	0	no	no
hCallPrint	0	no	no
hCallPrintln	0	no	no
hCallAssertOk	0	no	no
hSWhileBreak	0	no	no
hEpilogueSpill	0	no	no
hInitStore	0	no	no
hSeqNil	0	no	no
hSeqConsNormal	0	no	no
hSeqConsAbrupt	0	no	no
hDivCorr	0	no	no
hErrFam	0	no	no
