query	field	name	point	guard	state	predicate
hIAdd	hIAdd	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000b)
hIAdd	hIAdd	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hIAdd	hIAdd	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hISub	hISub	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000c)
hISub	hISub	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hISub	hISub	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hIMul	hIMul	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000d)
hIMul	hIMul	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hIMul	hIMul	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hIDiv	hIDiv	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000e)
hIDiv	hIDiv	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hIDiv	hIDiv	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hIDiv	hIDiv	nonzero-divisor	0x8000351c	g382	m382	(not (= (ld8 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000098)) #x0000000000000000))
hIDiv	hIDiv	nonoverflow	0x8000351c	g382	m382	(not (and (= (ld8 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000080)) #x8000000000000000) (= (ld8 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000098)) #xffffffffffffffff)))
hIMod	hIMod	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000f)
hIMod	hIMod	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hIMod	hIMod	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hIMod	hIMod	nonzero-divisor	0x8000351c	g382	m382	(not (= (ld8 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000098)) #x0000000000000000))
hILt	hILt	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000014)
hILt	hILt	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hILt	hILt	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hILe	hILe	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000015)
hILe	hILe	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hILe	hILe	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hIGt	hIGt	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000016)
hIGt	hIGt	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hIGt	hIGt	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
