field	region_lo	region_hi	entry	stop	rounds	complete	term_bytes	summaries	halts
hVar	0x80003164	0x80003fe0	0x80003164	0x80003448	174	true	431489	39	14
hAssign	0x80003164	0x80003fe0	0x80003164	0x80003448	174	true	431489	39	14
hIAdd	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hISub	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hIMul	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hIDiv	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hIMod	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hILt	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hILe	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hIGt	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hIGe	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hEq	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hNe	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hStrAddL	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hStrAddR	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hStrGe	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hStrGt	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hStrLe	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hStrLt	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hDivCorr	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hDivOv	0x80003164	0x80003fe0	0x80003164	0x800037c0	173	true	435891	38	15
hNeg	0x80003164	0x80003fe0	0x80003164	0x800033ec	174	true	434545	39	13
hNot	0x80003164	0x80003fe0	0x80003164	0x800033ec	174	true	434545	39	13
hAndTrue	0x80003164	0x80003fe0	0x80003164	0x800033ec	174	true	434545	39	13
hAndFalse	0x80003164	0x80003fe0	0x80003164	0x800033ec	174	true	434545	39	13
hOrTrue	0x80003164	0x80003fe0	0x80003164	0x800033ec	174	true	434545	39	13
hOrFalse	0x80003164	0x80003fe0	0x80003164	0x800033ec	174	true	434545	39	13
hCall	0x80003164	0x80003fe0	0x80003164	0x80003360	171	true	428994	38	15
hCallClosure	0x80003164	0x80003fe0	0x80003164	0x80003360	171	true	428994	38	15
hArgsCons	0x80003164	0x80003fe0	0x80003164	0x80003360	171	true	428994	38	15
hArgsNil	0x80003164	0x80003fe0	0x80003164	0x800031b4	150	true	386750	32	14
hCallPrint	0x80003164	0x80003fe0	0x80003164	0x80003360	171	true	428994	38	15
hCallPrintln	0x80003164	0x80003fe0	0x80003164	0x80003360	171	true	428994	38	15
hCallAssertOk	0x80003164	0x80003fe0	0x80003164	0x80003360	171	true	428994	38	15
hFn	0x80003164	0x80003fe0	0x80003164	0x80003408	173	true	436718	39	12
hSExpr	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSBlock	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSIfTrue	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSIfFalse	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSIfNone	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSRet	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSRetNull	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSVarInit	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSVarNull	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSWhileBreak	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSWhileFalse	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSForStart	0x80003fe0	0x80004308	0x80003fe0	0x800043ec	32	true	38487	9	0
hSeqNil	0x800043ec	0x80004588	0x8000448c	0x80004514	6	true	3577	2	0
hSeqConsNormal	0x800043ec	0x80004588	0x8000448c	0x80004514	6	true	3577	2	0
hSeqConsAbrupt	0x800043ec	0x80004588	0x8000448c	0x80004514	6	true	3577	2	0
hEpilogueSpill	0x80003164	0x80003fe0	0x800033ec	0x80003408	1	true	1159	0	0
hInitStore	0x800043ec	0x80004588	0x800043ec	0x8000448c	6	true	23285	1	2
