field	stop	region_lo	region_hi
hSExpr	0x800043ec	0x80003fe0	0x80004308
hSBlock	0x800043ec	0x80003fe0	0x80004308
hSIfTrue	0x800043ec	0x80003fe0	0x80004308
hSIfFalse	0x800043ec	0x80003fe0	0x80004308
hSIfNone	0x800043ec	0x80003fe0	0x80004308
hSRet	0x800043ec	0x80003fe0	0x80004308
hSRetNull	0x800043ec	0x80003fe0	0x80004308
hSVarInit	0x800043ec	0x80003fe0	0x80004308
hSVarNull	0x800043ec	0x80003fe0	0x80004308
hSWhileBreak	0x800043ec	0x80003fe0	0x80004308
hSWhileFalse	0x800043ec	0x80003fe0	0x80004308
hSForStart	0x800043ec	0x80003fe0	0x80004308
hSBrk	0x800043ec	0x80003fe0	0x80004308
hSCont	0x800043ec	0x80003fe0	0x80004308
