field	storerepr	sp	valuerepr_tag	outside_stack_arena	code	residual_relation
hAndFalse	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hAndTrue	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hArgsCons	N/A(fragment)	VALID	N/A(fragment)	VALID	VALID	N/A
hArgsNil	N/A(fragment)	VALID	N/A(fragment)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hAssign	VALID(consistency-unproved)	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hBool	VALID(consistency-unproved)	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hCall	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hCallAssertOk	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hCallClosure	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hCallPrint	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hCallPrintln	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hDivOv	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hEpilogueSpill	N/A(fragment)	VALID[sp+0x440]	N/A(fragment)	VALID	VALID	N/A
