field	z3_verdict	coverage
hAndFalse	UNKNOWN	?
hAndTrue	UNKNOWN	?
hArgsCons	UNKNOWN	?
hArgsNil	VALID	?
hAssign	UNKNOWN	?
hCall	UNKNOWN	?
hCallAssertOk	UNKNOWN	?
hCallClosure	UNKNOWN	?
hCallPrint	UNKNOWN	?
hCallPrintln	UNKNOWN	?
hDivCorr	UNKNOWN	?
hDivOv	UNKNOWN	?
hEpilogueSpill	VALID	?
hEq	UNKNOWN	?
hFn	UNKNOWN	?
hFn2	UNKNOWN	?
hIAdd	UNKNOWN	?
hIDiv	UNKNOWN	?
hIGe	UNKNOWN	?
hIGt	UNKNOWN	?
hILe	UNKNOWN	?
hILt	UNKNOWN	?
hIMod	UNKNOWN	?
hIMul	UNKNOWN	?
hISub	UNKNOWN	?
hInitStore	UNKNOWN	?
hNe	UNKNOWN	?
hNeg	UNKNOWN	?
hNot	UNKNOWN	?
hOrFalse	UNKNOWN	?
hOrTrue	UNKNOWN	?
hSBlock	VALID	?
hSExpr	VALID	?
hSForStart	VALID	?
hSIfFalse	VALID	?
hSIfNone	VALID	?
hSIfTrue	VALID	?
hSRet	VALID	?
hSRetNull	VALID	?
hSVarInit	VALID	?
hSVarNull	VALID	?
hSWhileBreak	VALID	?
hSWhileFalse	VALID	?
hSeqConsAbrupt	UNKNOWN	?
hSeqConsNormal	UNKNOWN	?
hSeqNil	UNKNOWN	?
hStrAddL	UNKNOWN	?
hStrAddR	UNKNOWN	?
hStrGe	UNKNOWN	?
hStrGt	UNKNOWN	?
hStrLe	UNKNOWN	?
hStrLt	UNKNOWN	?
hVar	UNKNOWN	?
