# TOTAL (presence-free) load siblings — the frame_pop cone (wave 48k).
# addr	word	class	rd	rs1	imm12
80003500	00013683	ld_tot	13	2	000
80003504	07812803	lw_tot	16	2	078
80003510	08013983	ld_tot	19	2	080
80003574	07813603	ld_tot	12	2	078
80003598	00013683	ld_tot	13	2	000
800035b0	0f013683	ld_tot	13	2	0f0
800035b4	0f813703	ld_tot	14	2	0f8
800035b8	10013783	ld_tot	15	2	100
800035f4	09013683	ld_tot	13	2	090
800035fc	09813703	ld_tot	14	2	098
80003600	0a013783	ld_tot	15	2	0a0
80003978	08013703	ld_tot	14	2	080
8000397c	08813783	ld_tot	15	2	088
80003994	00013683	ld_tot	13	2	000
80003a10	09013683	ld_tot	13	2	090
80003a14	09813703	ld_tot	14	2	098
80003a18	0a013783	ld_tot	15	2	0a0
