# ALL eval_expr `ld`/`lw` sites, TOTAL-READ byte hypotheses (wave 48k).
# addr	word	class	rd	rs1	imm12
80003254	06013703	ld_totb	14	2	060
80003258	06813683	ld_totb	13	2	068
8000325c	07013803	ld_totb	16	2	070
80003260	00442583	lw_totb	11	8	004
80003268	06012703	lw_totb	14	2	060
800034e8	01063603	ld_totb	12	12	010
800034fc	01843603	ld_totb	12	8	018
80003500	00013683	ld_totb	13	2	000
80003504	07812803	lw_totb	16	2	078
80003510	08013983	ld_totb	19	2	080
8000351c	00842603	lw_totb	12	8	008
80003524	00442403	lw_totb	8	8	004
8000352c	09012503	lw_totb	10	2	090
80003530	09813883	ld_totb	17	2	098
8000354c	0007a783	lw_totb	15	15	000
80003550	00013803	ld_totb	16	2	000
8000355c	01063603	ld_totb	12	12	010
8000356c	00842703	lw_totb	14	8	008
80003574	07813603	ld_totb	12	2	078
8000357c	08013703	ld_totb	14	2	080
80003580	08813783	ld_totb	15	2	088
80003598	00013683	ld_totb	13	2	000
800035a0	01843603	ld_totb	12	8	018
800035b0	0f013683	ld_totb	13	2	0f0
800035b4	0f813703	ld_totb	14	2	0f8
800035b8	10013783	ld_totb	15	2	100
800035ec	00842703	lw_totb	14	8	008
800035f4	09013683	ld_totb	13	2	090
800035fc	09813703	ld_totb	14	2	098
80003600	0a013783	ld_totb	15	2	0a0
80003660	0007b683	ld_totb	13	15	000
80003664	07813703	ld_totb	14	2	078
80003668	08813783	ld_totb	15	2	088
8000367c	09013703	ld_totb	14	2	090
80003680	09813583	ld_totb	11	2	098
80003684	0a013783	ld_totb	15	2	0a0
800036cc	41813983	ld_totb	19	2	418
8000372c	41813983	ld_totb	19	2	418
8000377c	41813983	ld_totb	19	2	418
800037d4	41813983	ld_totb	19	2	418
8000382c	41813983	ld_totb	19	2	418
80003880	41813983	ld_totb	19	2	418
80003898	07813703	ld_totb	14	2	078
8000389c	08813783	ld_totb	15	2	088
800038b0	09013703	ld_totb	14	2	090
800038b4	09813683	ld_totb	13	2	098
800038b8	0a013783	ld_totb	15	2	0a0
800038d8	41813983	ld_totb	19	2	418
800038e0	07813703	ld_totb	14	2	078
800038e4	08813783	ld_totb	15	2	088
800038f8	09013703	ld_totb	14	2	090
800038fc	09813683	ld_totb	13	2	098
80003900	0a013783	ld_totb	15	2	0a0
80003920	41813983	ld_totb	19	2	418
80003978	08013703	ld_totb	14	2	080
8000397c	08813783	ld_totb	15	2	088
80003994	00013683	ld_totb	13	2	000
800039ac	09813583	ld_totb	11	2	098
800039b0	0a013703	ld_totb	14	2	0a0
800039b4	09012503	lw_totb	10	2	090
800039c8	00442403	lw_totb	8	8	004
800039f8	3f813b83	ld_totb	23	2	3f8
80003a00	01843603	ld_totb	12	8	018
80003a10	09013683	ld_totb	13	2	090
80003a14	09813703	ld_totb	14	2	098
80003a18	0a013783	ld_totb	15	2	0a0
80003af0	41813983	ld_totb	19	2	418
80003b04	41813983	ld_totb	19	2	418
