# Truthy-continue (two-eval) logical sites: and-true continue @0x800035a0..dc,
# or-false continue @0x80003a00..1c, shared tail @0x800035bc..dc.
# Generated into Vsa/Sim/LogicalSites2.lean (gen-able sites only; the two beqz
# variants site_8000359c_nottaken_lg / site_80003998_taken_lg are hand-written).
#
# --- and-true continue (falls through from beqz@0x8000359c NOT-taken) ---
800035a0	01843603	ld	12 8 018
800035a4	00090593	alu_addi	11 18 000
800035a8	0f010513	alu_addi	10 2 0f0
800035ac	bb9ff0ef	jal	1 1ffbb8
800035b0	0f013683	ld	13 2 0f0
800035b4	0f813703	ld	14 2 0f8
800035b8	10013783	ld	15 2 100
# --- shared tail @0x800035bc..dc (joined by or-false via j) ---
800035bc	04010513	alu_addi	10 2 040
800035c0	04d13023	sd	13 2 040
800035c4	04e13423	sd	14 2 048
800035c8	04f13823	sd	15 2 050
800035cc	a60ff0ef	jal	1 1ff260
800035d0	00050593	alu_addi	11 10 000
800035d4	00048513	alu_addi	10 9 000
800035d8	a20ff0ef	jal	1 1ff220
800035dc	e11ff06f	j	1ffe10
# --- or-false continue (taken from beqz@0x80003998 to 0x80003a00) ---
80003a00	01843603	ld	12 8 018
80003a04	00090593	alu_addi	11 18 000
80003a08	09010513	alu_addi	10 2 090
80003a0c	f58ff0ef	jal	1 1ff758
80003a10	09013683	ld	13 2 090
80003a14	09813703	ld	14 2 098
80003a18	0a013783	ld	15 2 0a0
80003a1c	ba1ff06f	j	1ffba0
