# Recovered from Vsa/Sim/LogicalSites.lean; preserve non-generated declarations separately.
8000355c	01063603	ld	12	12	010
80003560	07810513	alu_addi	10	2	078
80003564	00d13023	sd	13	2	000
80003568	bfdff0ef	jal	1	1ffbfc
8000356c	00842703	lw	14	8	008
80003570	01900793	alu_addi	15	0	019
80003574	07813603	ld	12	2	078
80003578	40f70063	branch_nottaken	BEQ	14	15	0400
8000357c	08013703	ld	14	2	080
80003580	08813783	ld	15	2	088
80003584	04010513	alu_addi	10	2	040
80003588	04c13023	sd	12	2	040
8000358c	04e13423	sd	14	2	048
80003590	04f13823	sd	15	2	050
80003594	a98ff0ef	jal	1	1ff298
80003598	00013683	ld	13	2	000
8000359c	12050c63	branch_taken	BEQ	10	0	0138
800036d4	00000593	alu_addi	11	0	000
800036d8	00048513	alu_addi	10	9	000
800036dc	91cff0ef	jal	1	1ff11c
800036e0	d0dff06f	j	1ffd0c
80003578	40f70063	branch_taken	BEQ	14	15	0400
80003978	08013703	ld	14	2	080
8000397c	08813783	ld	15	2	088
80003980	04010513	alu_addi	10	2	040
80003984	04c13023	sd	12	2	040
80003988	04e13423	sd	14	2	048
8000398c	04f13823	sd	15	2	050
80003990	e9dfe0ef	jal	1	1fee9c
80003994	00013683	ld	13	2	000
80003998	06050463	branch_nottaken	BEQ	10	0	0068
8000399c	00100593	alu_addi	11	0	001
800039a0	00048513	alu_addi	10	9	000
800039a4	e55fe0ef	jal	1	1fee54
800039a8	a45ff06f	j	1ffa44
