# premise	intro_arity	site_pc	bytes	node_desc
hVarUndef	6	0x80003b54	0xa5 0x4f 0xf0 0xef	var lookup miss (EvalErr.varUndef)
hAssignE	8	0x80003b9c	0xa0 0xcf 0xf0 0xef	assign rhs error (EvalErr.assignE)
hAssignUnbound	10	0x80003bc8	0x9e 0x0f 0xf0 0xef	assign unbound (EvalErr.assignUnbound)
hBinaryL	9	0x80003c10	0x99 0x8f 0xf0 0xef	binary lhs error (EvalErr.binaryL)
hBinaryR	12	0x80003c7c	0x92 0xcf 0xf0 0xef	binary rhs error (EvalErr.binaryR)
hBinaryOp	14	0x80003cc4	0x8e 0x4f 0xf0 0xef	binary op none (EvalErr.binaryOp)
hOrL	8	0x80003ce8	0x8c 0x0f 0xf0 0xef	or lhs error (EvalErr.orL)
hOrR	12	0x80003d14	0x89 0x4f 0xf0 0xef	or rhs error (EvalErr.orR)
hAndL	8	0x80003d5c	0x84 0xcf 0xf0 0xef	and lhs error (EvalErr.andL)
hAndR	12	0x80003da0	0x80 0x8f 0xf0 0xef	and rhs error (EvalErr.andR)
hUnaryE	8	0x80003950	0xc5 0x8f 0xf0 0xef	unary sub error (EvalErr.unaryE)
hNegType	9	0x800034e4	0x8c 0x5f 0xf0 0xef	neg type error (EvalErr.negType) PROVEN
hCallF	8	0x80003de8	0xfc 0x1f 0xe0 0xef	call fn error (EvalErr.callF)
hCallArgs	11	0x80003e98	0xf1 0x1f 0xe0 0xef	call args error (EvalErr.callArgs)
hCallC	14	0x80003f58	0xe5 0x1f 0xe0 0xef	call callErr (EvalErr.callC)
hArgsHead	8	0x80003fac	0xdf 0xdf 0xe0 0xef	args head error (EvalArgsErr.head)
hArgsTail	11	0x80003fdc	0xdc 0xdf 0xe0 0xef	args tail error (EvalArgsErr.tail)
hNotCallable	7	0x80002e90	0xf1 0x9f 0xf0 0xef	not callable (CallErr.notCallable)
hArity	8	0x80002ebc	0xee 0xdf 0xf0 0xef	arity mismatch (CallErr.arity)
hDepth	9	0x80002e90	0xf1 0x9f 0xf0 0xef	depth exceeded (CallErr.depth)
hBody	14	0x80002ebc	0xee 0xdf 0xf0 0xef	call body error (CallErr.body)
hEscape	16	0x80002e90	0xf1 0x9f 0xf0 0xef	break/cont escape (CallErr.escape)
hAssertFail	8	0x80002ebc	0xee 0xdf 0xf0 0xef	assert fail (CallErr.assertFail)
hAssertArity	6	0x80002e90	0xf1 0x9f 0xf0 0xef	assert arity (CallErr.assertArity)
hExpr	7	0x80003b54	0xa5 0x4f 0xf0 0xef	stmt expr error (ExecErr.expr)
hVarInit	8	0x80003b9c	0xa0 0xcf 0xf0 0xef	var init error (ExecErr.varInit)
hBlock	10	0x80003bc8	0x9e 0x0f 0xf0 0xef	block error (ExecErr.block)
hIfCond	9	0x80003c10	0x99 0x8f 0xf0 0xef	if cond error (ExecErr.ifCond)
hIfThen	13	0x80003c7c	0x92 0xcf 0xf0 0xef	if then error (ExecErr.ifThen)
hIfElse	13	0x80003cc4	0x8e 0x4f 0xf0 0xef	if else error (ExecErr.ifElse)
hWhileCond	8	0x80003ce8	0x8c 0x0f 0xf0 0xef	while cond error (ExecErr.whileCond)
hWhileBody	12	0x80003d14	0x89 0x4f 0xf0 0xef	while body error (ExecErr.whileBody)
hWhileLoop	16	0x80003d5c	0x84 0xcf 0xf0 0xef	while loop error (ExecErr.whileLoop)
hForInit	13	0x80003da0	0x80 0x8f 0xf0 0xef	for init error (ExecErr.forInit)
hForLoop	15	0x80003950	0xc5 0x8f 0xf0 0xef	for loop error (ExecErr.forLoop)
hRet	7	0x800034e4	0x8c 0x5f 0xf0 0xef	return expr error (ExecErr.ret)
hFlCond	9	0x80003de8	0xfc 0x1f 0xe0 0xef	forloop cond error (ForLoopErr.cond)
hFlBody	11	0x80003e98	0xf1 0x1f 0xe0 0xef	forloop body error (ForLoopErr.body)
hFlStep	15	0x80003f58	0xe5 0x1f 0xe0 0xef	forloop step error (ForLoopErr.step)
hFlLoop	17	0x80003fac	0xdf 0xdf 0xe0 0xef	forloop loop error (ForLoopErr.loop)
hSeqHead	8	0x80003fdc	0xdc 0xdf 0xe0 0xef	seq head error (ExecSeqErr.head)
hSeqTail	10	0x80002e90	0xf1 0x9f 0xf0 0xef	seq tail error (ExecSeqErr.tail)
