# Recovered from Vsa/Sim/SnprintfSitesPrint.lean; only declarations reproduced by gen_sites.
8000782c	0f013603	ld	12	2	0f0
80007834	00060513	alu_addi	10	12	000
80007838	48028e63	branch_taken	BEQ	5	0	049c
800078c0	54071063	branch_nottaken	BNE	14	0	0540
800078c4	0e812783	lw	15	2	0e8
800078c8	01660633	alu_add	12	12	22
800078cc	0ec13823	sd	12	2	0f0
800078d0	0017879b	addiw	15	15	001
800078d4	01abb023	sd	26	23	000
800078d8	016bb423	sd	22	23	008
800078dc	00700713	alu_addi	14	0	007
800078e0	0ef12423	sw	15	2	0e8
800078e4	30f74863	branch_nottaken	BLT	14	15	0310
800078e8	010b8b93	alu_addi	23	23	010
800078f0	00030663	branch_taken	BEQ	6	0	000c
800078fc	000e0793	alu_addi	15	28	000
80007900	010e5463	branch_nottaken	BGE	28	16	0008
80007904	00080793	alu_addi	15	16	000
