# Generated by scripts/disasm_to_sites.py 0x8001438c 0x800143f4 (while-riscv-htif.elf);
# feed to scripts/gen_sites.py.  Branch rows: keep exactly one arm per branch.
8001438c	fc010113	alu_addi	2	2	fc0	# addi sp,sp,-64
80014390	02913423	sd	9	2	028	# sd s1,40(sp)
80014394	00c5a483	lw	9	11	00c	# lw s1,12(a1)
80014398	02813823	sd	8	2	030	# sd s0,48(sp)
8001439c	02113c23	sd	1	2	038	# sd ra,56(sp)
800143a0	00058413	alu_addi	8	11	000	# mv s0,a1
800143a4	00060793	alu_addi	15	12	000	# mv a5,a2
800143a8	0496f663	branch_nottaken	BGEU	13	9	004c	# bgeu a3,s1,800143f4 <__ssputs_r+0x68>
800143ac	0006871b	addiw	14	13	000	# sext.w a4,a3
800143b0	00043503	ld	10	8	000	# ld a0,0(s0)
800143b4	00070493	alu_addi	9	14	000	# mv s1,a4
800143b8	00078593	alu_addi	11	15	000	# mv a1,a5
800143bc	00048613	alu_addi	12	9	000	# mv a2,s1
800143c0	e04f20ef	jal	1	1f2604	# jal 800069c4 <memmove>
800143c4	00c42703	lw	14	8	00c	# lw a4,12(s0)
800143c8	00043783	ld	15	8	000	# ld a5,0(s0)
800143cc	00000513	alu_addi	10	0	000	# li a0,0
800143d0	4097073b	subw	14	14	9	# subw a4,a4,s1
800143d4	009787b3	alu_add	15	15	9	# add a5,a5,s1
800143d8	00e42623	sw	14	8	00c	# sw a4,12(s0)
800143dc	00f43023	sd	15	8	000	# sd a5,0(s0)
800143e0	03813083	ld	1	2	038	# ld ra,56(sp)
800143e4	03013403	ld	8	2	030	# ld s0,48(sp)
800143e8	02813483	ld	9	2	028	# ld s1,40(sp)
800143ec	04010113	alu_addi	2	2	040	# addi sp,sp,64
800143f0	00008067	jr	1	# ret
